,k,sse,silhouete_score,davies_bouldin_score,calinski_harabasz_score
0,2,2675.6974886327416,0.9501788217141747,0.6344521664398327,1355.973598428093
1,3,900.2164256846997,0.9404958840950326,0.3816390571583792,2996.3318662944253
2,4,590.040755633704,0.9217987454147452,0.41323588531759065,3219.1100425626787
3,5,402.7678026161531,0.9216723970823844,0.32625772014924004,3649.0217274289894
4,6,233.19953828749507,0.8891782495797579,0.35639828201397666,5181.379324160767
5,7,158.89435637031855,0.890198678992406,0.35628083711543695,6408.013864932
6,8,102.4816770395108,0.9410554521167255,0.3096369927682969,8585.496505637975
7,9,76.67896179317677,0.9474247313920038,0.2957716603369056,10071.788671351198
