Fez homeoffice,Plano de saúde,Foi entubado/sedado,Resultado do exame COVID-19,Possui sintomas leves,Possui sintomas médios,Possui sintomas graves,Total de sintomas leves,Total de sintomas médios,Total de sintomas graves,Total de sintomas geral
1.0,0.13963398684943334,-0.00604038191284302,0.039200651837729424,-0.4088794994742808,-0.39587620253932226,-0.35921898127044066,-0.42897912302610897,-0.4078883346760813,-0.3601002294587684,-0.4349147641687648
0.13963398684943334,1.0,0.007840732981395497,0.18457013531323593,-0.44168923840998287,-0.4371004310156309,-0.3939556404465259,-0.46586218028757675,-0.4502304572118073,-0.39521319760134993,-0.4751938735412323
-0.00604038191284302,0.007840732981395497,1.0,0.1415278981224913,-0.5181714083428353,-0.5481448461277929,-0.6145589022823456,-0.5740849255403886,-0.5769390966133165,-0.6160215823225773,-0.609679915792291
0.039200651837729424,0.18457013531323593,0.1415278981224913,1.0,-0.5592394787279735,-0.5646617081214836,-0.5098172632374429,-0.6055841361267096,-0.5905706965694537,-0.5147652710652696,-0.6195556036594864
-0.4088794994742808,-0.44168923840998287,-0.5181714083428353,-0.5592394787279735,1.0,0.8574391646746898,0.5477043801183024,0.9487773754637496,0.8616042956687665,0.5554676493800328,0.917148371974531
-0.39587620253932226,-0.4371004310156309,-0.5481448461277929,-0.5646617081214836,0.8574391646746898,1.0,0.5652264780524989,0.8751201376170371,0.9868652881736136,0.5729599768992213,0.9157302526455366
-0.35921898127044066,-0.3939556404465259,-0.6145589022823456,-0.5098172632374429,0.5477043801183024,0.5652264780524989,1.0,0.7107299047861031,0.6481804968474926,0.9975165252031362,0.764460774067573
-0.42897912302610897,-0.46586218028757675,-0.5740849255403886,-0.6055841361267096,0.9487773754637496,0.8751201376170371,0.7107299047861031,1.0,0.9166977363080738,0.724910946161959,0.987780363291134
-0.4078883346760813,-0.4502304572118073,-0.5769390966133165,-0.5905706965694537,0.8616042956687665,0.9868652881736136,0.6481804968474926,0.9166977363080738,1.0,0.6591959188188145,0.9561499335222559
-0.3601002294587684,-0.39521319760134993,-0.6160215823225773,-0.5147652710652696,0.5554676493800328,0.5729599768992213,0.9975165252031362,0.724910946161959,0.6591959188188145,1.0,0.7768039345911503
-0.4349147641687648,-0.4751938735412323,-0.609679915792291,-0.6195556036594864,0.917148371974531,0.9157302526455366,0.764460774067573,0.987780363291134,0.9561499335222559,0.7768039345911503,1.0
