id,total,nome
2,387986,Fundamental incompleto
5,256040,Médio completo
1,124035,Sem instrução
4,107635,Médio incompleto
7,107441,Superior completo
3,76092,Fundamental completa
6,59678,Superior incompleto
8,30290,"Pós-graduação, mestrado ou doutorado"
